abaddho,baddho
adhipaññādhammavipassanāya,adhipaññā+dhamma+vipassanāya
adhipaññādhammavipassanāyā,adhipaññā+dhamma+vipassanāya
adhipaññāsikkhā,adhipaññā+sikkhā
adhipaññāsikkhāsamādānaṃ,adhipaññā+sikkhā+samādānaṃ
adhipaññāsikkhāya,adhipaññā+sikkhāya
adhipaññāsikkhāyā,adhipaññā+sikkhāyā
adhippāyañca,adhippāyañ+ca
adhisīlampi,adhisīlam+pi
adhisīlasikkhā,adhisīla+sikkhā
adhisīlasikkhāsamādānaṃ,adhisīla+sikkhā+samādānaṃ
adhisīlasikkhāsamādāne,adhisīla+sikkhā+samādāne
adhisīlasikkhāya,adhisīla+sikkhāya
adhivacananti,adhivacanan+ti
adhivacanapathe,adhivacana+pathe
adhivacanapatho,adhivacana+patho
adhivacanapathā,adhivacana+pathā
adhivacanasamphasso,adhivacana+samphasso
adhivacanañca,adhivacanañ+ca
adhivutthañca,adhivutthañ+ca
adhivuttipadasuttaṃ,adhivutti+pada+suttaṃ
adhivuttipadānaṃ,adhivutti+padānaṃ
adhivuttipadāni,adhivutti+padāni
adhivuṭṭhañca,adhivuṭṭhañ+ca
adhivāsakajātiko,adhivāsaka+jātiko
adhivāsanakālo,adhivāsana+kālo
adhiyitukāmā,adhiyitu+kāmā
adhiṭṭhānañca,adhiṭṭhānañ+ca
adhobhāgaṃ,adho+bhāgā
adhobhāgaṅgamanīyā,adho+bhāgaṅ+gamanīyā
adhobhāgā,adho+bhāgā
adhogamā,adho+gamā
adhogamāni,adho+gamāni
adhogāmī,adho+gāmī
adhomukhaṃ,adho+mukhaṃ
adhomukhe,adho+mukhe
adhomukho,adho+mukho
adhomukhā,adho+mukhā
adhosiraṃ,adho+siraṃ
adhovirecanaṃ,adho+virecanaṃ
adhunāgatavadhukāsamena,adhunā+āgata+vadhukā+samena
adhunāgato,adhunā+gato
adhunāgatā,adhunā+āgatā
adhunākālaṅkato,adhunā+kālaṅkato,adhunā+kālaṅ+kato
adhuvaṃyeva,adhuvaṃ+yeva
adinnamicchā,adinna+micchā
adinnaṃyeva,adinnaṃ+yeva
adinnādānasmiṃ,adinna+ādānasmiṃ
adinnādānassa,adinna+ādānassa
adinnādānasuttaṃ,adinna+ādāna+suttaṃ
adinnādānaṃ,adinna+ādānaṃ
adinnādāne,adinna+ādāne
adinnādānā,adinna+ādānā,adinna+ādāne
adinnādāyino,adinna+ādāyino
adinnādāyinī,adinna+ādāyī,adinna+ādāyinī
adinnādāyissa,adinna+ādāyissa
adinnādāyiṃ,adinna+ādāyiṃ
adinnādāyī,adinna+ādāyī
adinnādāyīsuttaṃ,adinna+ādāyī+suttaṃ
adiṭṭhapubbaṃ,adiṭṭha+pubbaṃ
adiṭṭhapubbo,adiṭṭha+pubbo
adiṭṭhapubbā,adiṭṭha+pubbā
adiṭṭhasahāyo,adiṭṭha+sahāyo
adiṭṭhavāditā,adiṭṭha+vāditā
adiṭṭhavādī,adiṭṭha+vādī
adukkhamasukhampi,adukkhamasukhan+pi,adukkhamasukham+pi
adukkhamasukhantipi,adukkhamasukhan+ti+pi
adukkhamasukhaṃ,adukkha+asukhaṃ
adukkhamasukhe,adukkha+asukhe
adukkhamasukhā,adukkha+asukhā
adukkhamasukhāpi,adukkhamasukhā+pi
adukkhamasukhāyapi,adukkhamasukhāya+pi
adukkhamasukhīsuttaṃ,adukkhamasukhī+suttaṃ
adukkhamasuṃ,adukkha+asuṃ
aduñhi,aduñ+hi
aduṭṭhacittā,aduṭṭha+cittā
advejjhavāco,advejjha+vāco
adīnamānaso,adīna+mānaso
agadaṅgārassapi,agada+aṅgārassa
agatapubbañceva,agata+pubbañ+ca+eva
agatapubbā,agata+pubbā
agatigamanāni,agati+gamanāni
agatigamanānī,agati+gamanānī
aggadhammasamāhito,agga+dhamma+samāhito
aggadhammasuttaṃ,agga+dhamma+suttaṃ
aggadhammañca,agga+dhammañ+ca
aggadvārena,agga+dvārena
aggadāyī,agga+dāyī
aggakulassa,agga+kulassa
aggamahesī,agga+mahesī
aggamakkhāyanti,aggam+akkhāyanti
aggamakkhāyati,aggam+akkhāyati
aggamakkhāyatī,aggam+akkhāyati
agganagaraṃ,agga+nagaraṃ
agganakhā,agga+nakhā
agganti,aggan+ti
aggapadasmiṃ,agga+padasmiṃ
aggapaññattiyo,agga+paññattiyo
aggapiṇḍaṃ,agga+piṇḍaṃ
aggappasādasuttaṃ,agga+pasāda+suttaṃ
aggappasādā,agga+pasādā
aggappattassa,agga+pattassa
aggappatto,agga+patto
aggappattā,agga+pattā
aggappattāni,agga+pattāni
aggarasaparititto,agga+rasa+parititto
aggasāvakayugaṃ,agga+sāvaka+yugaṃ
aggañca,aggañ+ca
aggaññapaññattikathā,aggañña+paññatti+kathā
aggaññasuttaṃ,aggañña+suttaṃ
aggaññeva,aggaññ+eva
aggaḷantarikāya,aggaḷa+antarikāya
aggaḷaphalake,aggaḷa+phalake
agghameti,aggham+eti
aggibhayaṃ,aggi+bhayaṃ
aggihuttamukhā,aggi+hutta+mukhā
aggihuttaṃ,aggi+huttaṃ
aggikabhāradvājassa,aggika+bhāradvājassa
aggikabhāradvājo,aggika+bhāradvājo
aggikajaṭilaupamā,aggika+jaṭila+upamā
aggikaraṇīyaṃ,aggi+karaṇīyaṃ
aggikasuttaṃ,aggika+suttaṃ
aggikkhandhaṃ,aggi+khandhaṃ
aggimpi,aggim+pi
aggipajjoto,aggi+pajjoto
aggiparicārakā,aggi+paricārakā
aggiparicārikā,aggi+paricārikā
aggippabhā,aggi+pabhā
aggisamphasso,aggi+samphasso
aggisuttaṃ,aggi+suttaṃ
aggisādhāraṇā,aggi+sādhāraṇā
aggivacchasuttaṃ,aggi+vaccha+suttaṃ
aggobhāso,aggi+obhāso
aggupaṭṭhāko,agga+upaṭṭhāko
aggābhā,aggi+ābhā
aggāloko,aggi+āloko
aghabhūtanti,agha+bhūtan+ti
aghabhūtaṃ,agha+bhūtaṃ
aghabhūto,agha+bhūto
aghagāminaṃ,agha+gāminaṃ
aghajātassa,agha+jātassa
aghamūlasuttaṃ,agha+mūla+suttaṃ
aghamūlañca,agha+mūlañ+ca
aghamūlaṃ,agha+mūlaṃ
aghanti,aghan+ti
aghavinayo,agha+vinayo
aghavinayā,agha+vinayā
aghañca,aghañ+ca
aguttadvārassa,agutta+dvārassa
aguttadvārataṃ,agutta+dvārataṃ
aguttadvāratā,agutta+dvāratā
aguttadvārehi,agutta+dvārehi
aguttadvāro,agutta+dvāro
aguttadvāroti,agutta+dvāro+ti
aguttadvārā,agutta+dvārā
agāramāvasaṃ,agāram+āvasaṃ
agārasuttaṃ,agāra+suttaṃ
agāravo,agāravo
agāravupakkilesā,agārava+upakkilesā
agāravāti,agāravā+ti
agārikabhūtassa,agārika+bhūtassa
agārikabhūto,agārika+bhūto
agāriyabhūto,agāriya+bhūto
agāriyabhūtā,agāriya+bhūtā
ahamanuggahena,aham+anuggahena
ahamanusāsaniyā,aham+anusāsaniyā
ahamanusāsissāmī,aham+anusāsissāmī
ahamanusāsāmi,aham+anusāsāmi
ahamasmi,aham+asmi
ahamassa,aham+assa
ahamayyassa,aham+ayyassa
ahamaññatra,aham+aññatra
ahametaṃ,aham+etaṃ
ahamettha,aham+ettha
ahameva,aham+eva
ahamovādena,aham+ovādena
ahampajja,aham+pi+ajja
ahampamhi,aham+pi+amhi
ahampi,aham+pi
ahamāvuso,aham+āvuso
ahanti,ahan+ti
ahañca,ahañ+ca
ahañcamhi,ahañ+ca+amhi
ahañce,ahañ+ce
ahañcetaṃ,ahañ+ce+etaṃ
ahañceva,ahañ+ca+eva,ahañ+ce+eva
ahañcānanda,ahañ+ce+ānanda
ahañhi,ahañ+hi
ahaññeveko,ahaññ+eva+eko
ahaṅkārā,ahaṅ+kārā
ahetuappaccayā,ahetu+appaccayā
ahetukavādo,ahetuka+vādo
ahetukavādā,ahetuka+vādā
ahetuvādā,ahetu+vādā
ahikuṇapaṃ,ahi+kuṇapaṃ
ahikuṇapena,ahi+kuṇapena
ahirikamūlakasuttaṃ,ahirika+mūlaka+suttaṃ
ahirikamūlakā,ahirika+mūlakā
ahirikasuttaṃ,ahirika+suttaṃ
ahirikañca,ahirikañ+ca
ahirājakulaṃ,ahi+rāja+kulaṃ
ahirājakulāni,ahi+rāja+kulāni
ahirājasuttaṃ,ahi+rāja+suttaṃ
ahitakāmo,a+hita+kāmo
ahitakāmā,a+hita+kāmā
ahitamapi,ahitam+api
ahivicchikā,ahi+vicchikā
ahiṃsakabhāradvājo,ahiṃsaka+bhāradvājo
ahiṃsakasuttaṃ,ahiṃsaka+suttaṃ
ahiṃsakoti,ahiṃsako+ti
ahorattamatanditaṃ,aho+rattam+atanditaṃ
ahorattamatandito,aho+rattam+atandito
ahorattaṃ,aho+rattaṃ
ahorattā,aho+rattā
ahorattānamaccaye,aho+rattānam+accaye
ahorattānaṃ,aho+rattānaṃ
ahosinti,ahosin+ti
ahosīti,ahosī+ti
ahovatā,aho+vatā
ahudeva,ahu+eva
ahuvamheva,ahuvamha+eva
ahīnindriyaṃ,ahīna+indriyaṃ
ahīnindriyo,ahīna+indriyo
ajabhūtānaṃ,aja+bhūtānaṃ
ajapadena,aja+padena
ajapālanigrodhe,ajapāla+nigrodhe
ajarasāsuttaṃ,ajarasā+suttaṃ
ajasatāni,aja+satāni
ajeḷakapaṭiggahaṇā,aja+eḷaka+paṭiggahaṇā
ajeḷakasuttaṃ,aja+eḷaka+suttaṃ
ajeḷakañceva,aja+eḷakañ+ca+eva
ajeḷakaṃ,aja+eḷakaṃ
ajeḷakā,aja+eḷakā
ajeṭṭhamaraṇaṃ,a+jeṭṭha+maraṇaṃ
ajinakkhipanivattho,ajina+khipa+nivattho
ajinappaveṇī,ajina+paveṇī
ajitakesakambalavādo,ajita+kesakambala+vādo
ajitapañhe,ajita+pañhe
ajitasuttaṃ,ajita+suttaṃ
ajitopi,ajito+pi
ajjasaṭṭhiṃ,ajja+saṭṭhiṃ
ajjatagge,ajja+agge,ajja+tagge,ajjata+agge
ajjavañca,ajjavañ+ca
ajjeva,ajja+eva
ajjhattaaniccachandarāgasuttaṃ,ajjhatta+anicca+chanda+rāga+suttaṃ
ajjhattaaniccachandasuttaṃ,ajjhatta+anicca+chanda+suttaṃ
ajjhattaaniccanandikkhayasuttaṃ,ajjhatta+anicca+nandi+khaya+suttaṃ
ajjhattaaniccarāgasuttaṃ,ajjhatta+anicca+rāga+suttaṃ
ajjhattabahiddhā,ajjhatta+bahiddhā
ajjhattabāhirā,ajjhatta+bāhirā
ajjhattabāhirāti,ajjhatta+bāhirā+ti
ajjhattadukkhahetusuttaṃ,ajjhatta+dukkha+hetu+suttaṃ
